Player Name,Opponent Name,Server,Number of Forehands,Number of Backhands,Did Server win Point?,Serve Speed (km/h),"Win Condition (Ace, Winners, Errors)",Player Ranking,Opponent Ranking,Number of Faults,Player Age,Opponent Age,
Novak Djokovic,Taylor Fritz,Taylor Fritz,3,0,1,182,Winner,1,12,0,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,3,2,0,164,Error,1,12,1,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,9,7,1,172,Error,1,12,1,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,8,1,0,165,Error,1,12,1,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,12,6,1,190,Error,1,12,0,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,2,1,0,177,Error,1,12,1,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,11,2,0,170,Error,1,12,1,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,4,8,1,164,Winner,1,12,1,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,4,2,1,184,Error,1,12,0,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,6,4,0,211,Error,1,12,0,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,6,6,0,155,Winner,1,12,1,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,2,0,1,164,Error,1,12,1,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,2,1,0,201,Error,1,12,0,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,3,1,1,205,Error,1,12,0,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,13,10,1,173,Error,1,12,1,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,6,3,0,201,Error,1,12,0,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,5,2,1,185,Winner,1,12,0,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,2,1,0,201,Error,1,12,0,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,2,1,1,207,Winner,1,12,0,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,3,4,0,164,Error,1,12,1,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,2,2,1,170,Error,1,12,1,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,7,2,0,201,Error,1,12,0,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,2,0,1,188,Error,1,12,0,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,4,0,1,168,Error,1,12,1,36,26,
Novak Djokovic,Taylor Fritz,Novak Djokovic,3,1,1,175,Error,1,12,1,36,26,
Novak Djokovic,Taylor Fritz,Novak Djokovic,3,2,1,171,Winner,1,12,1,36,26,
Novak Djokovic,Taylor Fritz,Novak Djokovic,1,2,1,154,Winner,1,12,1,36,26,
Novak Djokovic,Taylor Fritz,Novak Djokovic,1,0,1,184,Ace,1,12,1,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,4,3,0,184,Error,1,12,0,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,1,2,0,151,Error,1,12,1,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,10,5,0,177,Error,1,12,0,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,1,1,1,204,Error,1,12,0,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,1,1,1,206,Error,1,12,0,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,1,0,1,204,Ace,1,12,0,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,3,1,1,203,Error,1,12,0,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,1,1,1,206,Error,1,12,0,36,26,
Novak Djokovic,Taylor Fritz,Novak Djokovic,2,0,1,161,Error,1,12,1,36,26,
Novak Djokovic,Taylor Fritz,Novak Djokovic,2,3,0,173,Error,1,12,1,36,26,
Novak Djokovic,Taylor Fritz,Novak Djokovic,1,4,0,146,Error,1,12,1,36,26,
Novak Djokovic,Taylor Fritz,Novak Djokovic,6,5,1,148,Winner,1,12,1,36,26,
Novak Djokovic,Taylor Fritz,Novak Djokovic,2,0,1,176,Error,1,12,0,36,26,
Novak Djokovic,Taylor Fritz,Novak Djokovic,7,0,1,188,Winner,1,12,0,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,1,0,1,204,Ace,1,12,0,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,2,3,0,168,Error,1,12,1,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,2,6,1,176,Error,1,12,1,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,2,1,1,196,Winner,1,12,0,36,26,
Novak Djokovic,Taylor Fritz,Taylor Fritz,0,0,1,181,Ace,1,12,0,36,26,
Novak Djokovic,Taylor Fritz,Novak Djokovic,1,5,1,167,Error,1,12,0,36,26,
Novak Djokovic,Taylor Fritz,Novak Djokovic,2,0,1,191,Error,1,12,0,36,26,
Novak Djokovic,Taylor Fritz,Novak Djokovic,5,3,0,179,Winner,1,12,0,36,26,
Victoria Azarenka, Dayana Yastremska, Dayana Yastremska,1,1,1,170,error,18,29,0,34,23,
Victoria Azarenka, Dayana Yastremska, Dayana Yastremska,2,2,0,181,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska, Dayana Yastremska,3,3,1,130,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska, Dayana Yastremska,0,0,0,177,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska, Dayana Yastremska,1,1,0,147,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska, Dayana Yastremska,5,3,1,143,Winner,18,29,0,34,23,
Victoria Azarenka, Dayana Yastremska, Dayana Yastremska,4,0,1,141,Winner,18,29,0,34,23,
Victoria Azarenka, Dayana Yastremska, Dayana Yastremska,0,1,1,138,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska,Victoria Azarenka,2,3,1,139,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska,Victoria Azarenka,0,1,0,173,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska,Victoria Azarenka,2,3,1,126,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska,Victoria Azarenka,2,0,0,172,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska,Victoria Azarenka,5,2,1,134,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska,Victoria Azarenka,3,2,1,139,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska, Dayana Yastremska,4,0,0,175,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska, Dayana Yastremska,3,0,0,145,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska, Dayana Yastremska,5,1,1,181,Winner,18,29,0,34,23,
Victoria Azarenka, Dayana Yastremska, Dayana Yastremska,4,1,1,149,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska, Dayana Yastremska,1,0,1,149,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska, Dayana Yastremska,5,0,1,160,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska,Victoria Azarenka,1,1,0,139,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska,Victoria Azarenka,1,1,0,139,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska,Victoria Azarenka,2,2,1,142,Winner,18,29,0,34,23,
Victoria Azarenka, Dayana Yastremska,Victoria Azarenka,3,1,0,140,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska,Victoria Azarenka,1,1,0,148,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska, Dayana Yastremska,2,0,0,143,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska, Dayana Yastremska,4,2,0,129,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska, Dayana Yastremska,0,0,1,178,Ace,18,29,0,34,23,
Victoria Azarenka, Dayana Yastremska, Dayana Yastremska,2,0,1,162,Winner,18,29,0,34,23,
Victoria Azarenka, Dayana Yastremska, Dayana Yastremska,4,2,0,136,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska, Dayana Yastremska,0,1,0,166,error,18,29,0,34,23,
Victoria Azarenka, Dayana Yastremska,Victoria Azarenka,0,1,1,134,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska,Victoria Azarenka,6,5,0,135,Winner,18,29,0,34,23,
Victoria Azarenka, Dayana Yastremska,Victoria Azarenka,1,0,1,153,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska,Victoria Azarenka,3,1,1,126,Winner,18,29,0,34,23,
Victoria Azarenka, Dayana Yastremska,Victoria Azarenka,0,1,1,134,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska, Dayana Yastremska,2,2,0,155,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska, Dayana Yastremska,4,3,0,138,Winner,18,29,0,34,23,
Victoria Azarenka, Dayana Yastremska, Dayana Yastremska,2,0,0,152,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska, Dayana Yastremska,3,2,1,148,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska, Dayana Yastremska,1,0,1,136,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska, Dayana Yastremska,0,0,0,158,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska,Victoria Azarenka,3,1,0,127,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska,Victoria Azarenka,2,1,1,130,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska,Victoria Azarenka,4,1,0,159,Winner,18,29,0,34,23,
Victoria Azarenka, Dayana Yastremska,Victoria Azarenka,0,1,1,125,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska,Victoria Azarenka,6,5,1,131,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska,Victoria Azarenka,2,1,1,122,error,18,29,1,34,23,
Victoria Azarenka, Dayana Yastremska, Dayana Yastremska,4,4,1,157,Winner,18,29,0,34,23,
Victoria Azarenka, Dayana Yastremska, Dayana Yastremska,0,0,1,170,Ace,18,29,0,34,23,
Jannik Sinner,Andrey Rublev,Andrey Rublev,2,2,1,172,Winner,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Andrey Rublev,0,0,1,178,Ace,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Andrey Rublev,0,1,1,195,Error,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Andrey Rublev,0,1,1,202,Error,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,0,1,1,166,Error,4,5,1,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,1,0,1,194,Error,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,1,2,1,189,Error,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,0,0,1,198,Ace,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Andrey Rublev,0,1,1,204,Error,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Andrey Rublev,0,0,1,197,Ace,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Andrey Rublev,2,0,1,187,Winner,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Andrey Rublev,3,1,0,191,Error,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Andrey Rublev,2,2,0,205,Error,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Andrey Rublev,4,0,0,193,Error,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Andrey Rublev,2,1,1,184,Error,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Andrey Rublev,0,2,1,196,Winner,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,3,0,1,187,Error,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,4,0,0,193,Error,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,5,5,0,206,Error,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,1,3,0,151,Error,4,5,1,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,3,4,1,162,Error,4,5,1,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,1,0,1,201,Error,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,3,4,1,199,Error,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,0,0,1,191,Ace,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Andrey Rublev,2,0,0,190,Error,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Andrey Rublev,1,3,0,156,Error,4,5,1,22,26,
Jannik Sinner,Andrey Rublev,Andrey Rublev,2,0,0,187,Error,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Andrey Rublev,3,3,0,155,Error,4,5,1,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,0,3,1,195,Error,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,3,0,1,157,Error,4,5,1,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,7,5,0,159,Error,4,5,1,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,3,2,1,198,Error,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,4,3,0,176,Winner,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,0,0,1,205,Ace,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Andrey Rublev,6,1,0,169,Winner,4,5,1,22,26,
Jannik Sinner,Andrey Rublev,Andrey Rublev,2,0,1,201,Winner,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Andrey Rublev,0,1,1,202,Error,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Andrey Rublev,2,3,1,198,Error,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Andrey Rublev,0,1,1,169,Error,4,5,1,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,4,9,1,167,Error,4,5,1,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,0,3,1,158,Error,4,5,1,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,5,7,0,185,Error,4,5,1,22,26,
