Player Name,Opponent Name,Server,Number of Forehands,Number of Backhands,Did Server win Point?,Serve Speed (km/h),"Win Condition (Ace, Winners, Errors)",Player Ranking,Opponent Ranking,Number of Faults,Player Age,Opponent Age,
Jannik Sinner,Andrey Rublev,Jannik Sinner,5,3,0,200,Error,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,1,0,1,198,Error,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,1,0,1,174,Error,4,5,1,22,26,
Jannik Sinner,Andrey Rublev,Andrey Rublev,0,1,1,208,Error,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Andrey Rublev,1,2,1,167,Error,4,5,1,22,26,
Jannik Sinner,Andrey Rublev,Andrey Rublev,3,3,1,166,Winner,4,5,1,22,26,
Jannik Sinner,Andrey Rublev,Andrey Rublev,1,0,1,197,Error,4,5,0,22,26,
Jannik Sinner,Andrey Rublev,Jannik Sinner,3,2,1,161,Error,4,5,1,22,26,
Novak Djokovic,Jannik Sinner,Jannik Sinner,8,8,0,166,Error,1,4,0,36,22,
Novak Djokovic,Jannik Sinner,Jannik Sinner,4,1,1,200,Error,1,4,0,36,22,
Novak Djokovic,Jannik Sinner,Jannik Sinner,4,3,1,176,Error,1,4,1,36,22,
Novak Djokovic,Jannik Sinner,Jannik Sinner,0,1,1,162,Error,1,4,1,36,22,
Novak Djokovic,Jannik Sinner,Jannik Sinner,1,1,1,205,Winner,1,4,0,36,22,
Novak Djokovic,Jannik Sinner,Novak Djokovic,1,1,0,201,Error,1,4,0,36,22,
Novak Djokovic,Jannik Sinner,Novak Djokovic,0,0,0,n/a,Error,1,4,2,36,22,
Novak Djokovic,Jannik Sinner,Novak Djokovic,2,1,1,201,Winner,1,4,1,36,22,
Novak Djokovic,Jannik Sinner,Novak Djokovic,1,0,1,174,Error,1,4,1,36,22,
Novak Djokovic,Jannik Sinner,Novak Djokovic,5,0,0,182,Error,1,4,1,36,22,
Novak Djokovic,Jannik Sinner,Novak Djokovic,8,9,0,206,Winner,1,4,0,36,22,
Novak Djokovic,Jannik Sinner,Jannik Sinner,6,5,1,193,Error,1,4,0,36,22,
Novak Djokovic,Jannik Sinner,Jannik Sinner,1,2,1,200,Error,1,4,0,36,22,
Novak Djokovic,Jannik Sinner,Jannik Sinner,0,0,1,203,Ace,1,4,0,36,22,
Novak Djokovic,Jannik Sinner,Jannik Sinner,3,3,0,158,Error,1,4,1,36,22,
Novak Djokovic,Jannik Sinner,Jannik Sinner,1,0,1,192,Error,1,4,0,36,22,
Novak Djokovic,Jannik Sinner,Novak Djokovic,0,3,1,147,Error,1,4,1,36,22,
Novak Djokovic,Jannik Sinner,Novak Djokovic,1,2,1,175,Error,1,4,1,36,22,
Novak Djokovic,Jannik Sinner,Novak Djokovic,4,4,0,149,Error,1,4,1,36,22,
Novak Djokovic,Jannik Sinner,Novak Djokovic,5,1,0,197,Error,1,4,0,36,22,
Novak Djokovic,Jannik Sinner,Novak Djokovic,1,1,0,203,Error,1,4,0,36,22,
Novak Djokovic,Jannik Sinner,Novak Djokovic,2,0,1,195,Winner,1,4,0,36,22,
Novak Djokovic,Jannik Sinner,Novak Djokovic,2,4,1,148,Winner,1,4,1,36,22,
Novak Djokovic,Jannik Sinner,Novak Djokovic,1,3,0,183,Error,1,4,1,36,22,
Novak Djokovic,Jannik Sinner,Novak Djokovic,1,2,1,201,Error,1,4,0,36,22,
Novak Djokovic,Jannik Sinner,Novak Djokovic,2,1,1,202,Error,1,4,0,36,22,
Novak Djokovic,Jannik Sinner,Jannik Sinner,3,2,1,198,Error,1,4,0,36,22,
Novak Djokovic,Jannik Sinner,Jannik Sinner,6,5,1,163,Winner,1,4,1,36,22,
Novak Djokovic,Jannik Sinner,Jannik Sinner,3,1,0,190,Error,1,4,0,36,22,
Novak Djokovic,Jannik Sinner,Jannik Sinner,4,1,1,154,Error,1,4,1,36,22,
Novak Djokovic,Jannik Sinner,Jannik Sinner,2,6,0,179,Error,1,4,1,36,22,
Novak Djokovic,Jannik Sinner,Jannik Sinner,0,0,1,204,Ace,1,4,0,36,22,
Novak Djokovic,Jannik Sinner,Novak Djokovic,0,0,0,n/a,Error,1,4,2,36,22,
Novak Djokovic,Jannik Sinner,Novak Djokovic,0,2,0,158,Error,1,4,1,36,22,
Novak Djokovic,Jannik Sinner,Novak Djokovic,1,2,1,175,Error,1,4,1,36,22,
Novak Djokovic,Jannik Sinner,Novak Djokovic,3,5,0,194,Error,1,4,0,36,22,
Novak Djokovic,Jannik Sinner,Novak Djokovic,0,2,0,188,Error,1,4,1,36,22,
Novak Djokovic,Jannik Sinner,Jannik Sinner,2,1,0,192,Winner,1,4,0,36,22,
Novak Djokovic,Jannik Sinner,Jannik Sinner,1,1,1,202,Error,1,4,0,36,22,
Novak Djokovic,Jannik Sinner,Jannik Sinner,1,6,1,162,Error,1,4,1,36,22,
Novak Djokovic,Jannik Sinner,Jannik Sinner,3,0,1,193,Error,1,4,0,36,22,
Novak Djokovic,Jannik Sinner,Jannik Sinner,4,2,0,201,Error,1,4,0,36,22,
Novak Djokovic,Jannik Sinner,Jannik Sinner,3,0,1,199,Error,1,4,0,36,22,
Novak Djokovic,Jannik Sinner,Novak Djokovic,2,2,1,172,Error,1,4,0,36,22,
Novak Djokovic,Jannik Sinner,Novak Djokovic,1,0,1,188,Error,1,4,0,36,22,
Novak Djokovic,Jannik Sinner,Novak Djokovic,8,4,1,161,Error,1,4,1,36,22,
Novak Djokovic,Jannik Sinner,Novak Djokovic,1,2,1,156,Error,1,4,1,36,22,
Novak Djokovic,Jannik Sinner,Jannik Sinner,5,5,1,201,Winner,1,4,0,36,22,
Novak Djokovic,Jannik Sinner,Jannik Sinner,0,0,1,198,Ace,1,4,0,36,22,
Novak Djokovic,Jannik Sinner,Jannik Sinner,5,4,0,181,Error,1,4,1,36,22,
Coco Gauff,Aryna Sabalenka,Aryna Sabalenka,0,0,1,175,Ace,4,2,0,19,25,
Coco Gauff,Aryna Sabalenka,Aryna Sabalenka,3,0,1,182,Winner,4,2,0,19,25,
Coco Gauff,Aryna Sabalenka,Aryna Sabalenka,3,0,1,188,Error,4,2,0,19,25,
Coco Gauff,Aryna Sabalenka,Aryna Sabalenka,1,0,1,188,Error,4,2,0,19,25,
Coco Gauff,Aryna Sabalenka,Coco Gauff,0,0,0,NA,Error,4,2,2,19,25,
Coco Gauff,Aryna Sabalenka,Coco Gauff,0,0,0,NA,Error,4,2,2,19,25,
Coco Gauff,Aryna Sabalenka,Coco Gauff,5,7,0,159,Winner,4,2,0,19,25,
Coco Gauff,Aryna Sabalenka,Coco Gauff,3,0,1,180,Error,4,2,1,19,25,
Coco Gauff,Aryna Sabalenka,Coco Gauff,2,0,0,186,Error,4,2,0,19,25,
Coco Gauff,Aryna Sabalenka,Aryna Sabalenka,2,0,0,176,Error,4,2,0,19,25,
Coco Gauff,Aryna Sabalenka,Aryna Sabalenka,2,3,0,179,Winner,4,2,0,19,25,
Coco Gauff,Aryna Sabalenka,Aryna Sabalenka,1,3,0,176,Error,4,2,0,19,25,
Coco Gauff,Aryna Sabalenka,Aryna Sabalenka,3,2,1,181,Error,4,2,0,19,25,
Coco Gauff,Aryna Sabalenka,Aryna Sabalenka,3,4,0,187,Winner,4,2,0,19,25,
Coco Gauff,Aryna Sabalenka,Coco Gauff,1,0,1,167,Error,4,2,0,19,25,
Coco Gauff,Aryna Sabalenka,Coco Gauff,0,0,0,NA,Error,4,2,2,19,25,
Coco Gauff,Aryna Sabalenka,Coco Gauff,0,1,1,192,Error,4,2,0,19,25,
Coco Gauff,Aryna Sabalenka,Coco Gauff,3,3,1,131,Winner,4,2,1,19,25,
Coco Gauff,Aryna Sabalenka,Coco Gauff,0,0,1,199,Ace,4,2,0,19,25,
Coco Gauff,Aryna Sabalenka,Aryna Sabalenka,1,2,1,170,Error,4,2,0,19,25,
Coco Gauff,Aryna Sabalenka,Aryna Sabalenka,2,1,1,188,Error,4,2,0,19,25,
Coco Gauff,Aryna Sabalenka,Aryna Sabalenka,0,1,1,147,Error,4,2,1,19,25,
Coco Gauff,Aryna Sabalenka,Aryna Sabalenka,1,1,1,175,Winner,4,2,0,19,25,
Coco Gauff,Aryna Sabalenka,Coco Gauff,4,2,0,191,Error,4,2,0,19,25,
Coco Gauff,Aryna Sabalenka,Coco Gauff,0,1,1,140,Error,4,2,1,19,25,
Coco Gauff,Aryna Sabalenka,Coco Gauff,1,2,1,190,Error,4,2,0,19,25,
Coco Gauff,Aryna Sabalenka,Coco Gauff,0,0,0,NA,Error,4,2,2,19,25,
Coco Gauff,Aryna Sabalenka,Coco Gauff,0,0,1,167,Ace,4,2,0,19,25,
Coco Gauff,Aryna Sabalenka,Coco Gauff,0,0,0,NA,Error,4,2,2,19,25,
Coco Gauff,Aryna Sabalenka,Coco Gauff,5,1,0,169,Error,4,2,0,19,25,
Coco Gauff,Aryna Sabalenka,Coco Gauff,3,0,0,141,Winner,4,2,1,19,25,
Coco Gauff,Aryna Sabalenka,Aryna Sabalenka,3,4,0,163,Winner,4,2,1,19,25,
Coco Gauff,Aryna Sabalenka,Aryna Sabalenka,0,3,1,188,Error,4,2,0,19,25,
Coco Gauff,Aryna Sabalenka,Aryna Sabalenka,1,0,1,176,Error,4,2,0,19,25,
Coco Gauff,Aryna Sabalenka,Aryna Sabalenka,0,3,1,188,Error,4,2,0,19,25,
Coco Gauff,Aryna Sabalenka,Aryna Sabalenka,0,0,1,169,Ace,4,2,0,19,25,
Coco Gauff,Aryna Sabalenka,Coco Gauff,8,1,1,157,Error,4,2,0,19,25,
Coco Gauff,Aryna Sabalenka,Coco Gauff,1,1,1,201,Winner,4,2,0,19,25,
Coco Gauff,Aryna Sabalenka,Coco Gauff,2,3,0,195,Winner,4,2,0,19,25,
Coco Gauff,Aryna Sabalenka,Coco Gauff,1,0,0,133,Winner,4,2,1,19,25,
Coco Gauff,Aryna Sabalenka,Coco Gauff,0,2,1,198,Winner,4,2,0,19,25,
Coco Gauff,Aryna Sabalenka,Coco Gauff,4,0,1,196,Winner,4,2,0,19,25,
Coco Gauff,Aryna Sabalenka,Aryna Sabalenka,3,6,0,180,Winner,4,2,0,19,25,
Coco Gauff,Aryna Sabalenka,Aryna Sabalenka,3,2,1,185,Error,4,2,0,19,25,
Coco Gauff,Aryna Sabalenka,Aryna Sabalenka,1,1,1,172,Winner,4,2,0,19,25,
Coco Gauff,Aryna Sabalenka,Aryna Sabalenka,1,7,0,141,Error,4,2,1,19,25,
Coco Gauff,Aryna Sabalenka,Aryna Sabalenka,0,0,0,NA,Error,4,2,2,19,25,
Coco Gauff,Aryna Sabalenka,Aryna Sabalenka,1,1,0,147,Error,4,2,1,19,25,
Coco Gauff,Aryna Sabalenka,Coco Gauff,1,0,0,161,Winner,4,2,0,19,25,
Coco Gauff,Aryna Sabalenka,Coco Gauff,1,6,1,149,Error,4,2,1,19,25,
Roger Federer,Rafael Nadal,Rafael Nadal,6,5,1,153,Winner,14,9,1,35,30,
Roger Federer,Rafael Nadal,Rafael Nadal,1,2,1,154,Error,14,9,1,35,30,
Roger Federer,Rafael Nadal,Rafael Nadal,0,1,1,184,Error,14,9,0,35,30,
Roger Federer,Rafael Nadal,Rafael Nadal,4,3,1,187,Error,14,9,0,35,30,
Roger Federer,Rafael Nadal,Roger Federer,1,0,1,179,Error,14,9,0,35,30,
Roger Federer,Rafael Nadal,Roger Federer,8,7,0,146,Winner,14,9,1,35,30,
Roger Federer,Rafael Nadal,Roger Federer,1,0,1,153,Error,14,9,1,35,30,
Roger Federer,Rafael Nadal,Roger Federer,5,1,1,140,Winner,14,9,1,35,30,
Roger Federer,Rafael Nadal,Roger Federer,3,1,0,161,Error,14,9,1,35,30,
Roger Federer,Rafael Nadal,Roger Federer,1,2,1,185,Error,14,9,0,35,30,
Roger Federer,Rafael Nadal,Rafael Nadal,2,1,0,186,Winner,14,9,0,35,30,
Roger Federer,Rafael Nadal,Rafael Nadal,0,1,1,176,Error,14,9,0,35,30,
Roger Federer,Rafael Nadal,Rafael Nadal,1,2,1,153,Error,14,9,0,35,30,
Roger Federer,Rafael Nadal,Rafael Nadal,1,3,1,144,Winner,14,9,2,35,30,
Roger Federer,Rafael Nadal,Rafael Nadal,0,1,1,168,Error,14,9,0,35,30,
Roger Federer,Rafael Nadal,Roger Federer,1,0,1,145,Error,14,9,1,35,30,
Roger Federer,Rafael Nadal,Roger Federer,3,3,0,136,Error,14,9,1,35,30,
Roger Federer,Rafael Nadal,Roger Federer,2,5,1,173,Winner ,14,9,0,35,30, 
Roger Federer,Rafael Nadal,Roger Federer,1,1,1,187,Winner,14,9,0,35,30,
Roger Federer,Rafael Nadal,Roger Federer,1,4,1,196,Error,14,9,0,35,30,
Roger Federer,Rafael Nadal,Rafael Nadal,3,5,1,186,Error,14,9,0,35,30,
Roger Federer,Rafael Nadal,Rafael Nadal,2,1,1,175,Error,14,9,0,35,30,
Roger Federer,Rafael Nadal,Rafael Nadal,2,1,1,191,Error ,14,9,0,35,30,
Roger Federer,Rafael Nadal,Rafael Nadal,1,0,1,186,Error,14,9,0,35,30,
Roger Federer,Rafael Nadal,Roger Federer,6,1,1,152,Error,14,9,1,35,30,
Roger Federer,Rafael Nadal,Roger Federer,2,0,1,149,Winner,14,9,1,35,30,
Roger Federer,Rafael Nadal,Roger Federer,0,0,1,169,Ace,14,9,0,35,30,
Roger Federer,Rafael Nadal,Roger Federer,3,0,1,201,Error,14,9,0,35,30,
Roger Federer,Rafael Nadal,Rafael Nadal,0,3,0,151,Winner,14,9,0,35,30,
Roger Federer,Rafael Nadal,Rafael Nadal,0,1,1,139,Error,14,9,1,35,30,
Roger Federer,Rafael Nadal,Rafael Nadal,8,6,0,184,Error,14,9,0,35,30,
Roger Federer,Rafael Nadal,Rafael Nadal,8,5,0,173,Winner,14,9,0,35,30,
Roger Federer,Rafael Nadal,Rafael Nadal,2,3,0,187,Error,14,9,0,35,30,
Roger Federer,Rafael Nadal,Roger Federer,1,0,1,207,Error,14,9,0,35,30,
Roger Federer,Rafael Nadal,Roger Federer,1,1,1,176,Winner,14,9,0,35,30,
Roger Federer,Rafael Nadal,Roger Federer,1,1,1,201,Winner,14,9,0,35,30,
Roger Federer,Rafael Nadal,Roger Federer,0,0,1,195,Ace,14,9,0,35,30,
Roger Federer,Rafael Nadal,Rafael Nadal,4,4,0,148,Error,14,9,0,35,30,
Roger Federer,Rafael Nadal,Rafael Nadal,1,1,1,149,Winner,14,9,0,35,30,
Roger Federer,Rafael Nadal,Rafael Nadal,0,0,1,167,Ace,14,9,1,35,30,
Roger Federer,Rafael Nadal,Rafael Nadal,0,1,1,150,Error,14,9,1,35,30,
Roger Federer,Rafael Nadal,Rafael Nadal,0,2,0,159,Error,14,9,1,35,30,
Roger Federer,Rafael Nadal,Rafael Nadal,1,1,1,172,Winner,14,9,0,35,30,
Roger Federer,Rafael Nadal,Roger Federer,2,1,0,200,Winner,14,9,0,35,30,
Roger Federer,Rafael Nadal,Roger Federer,0,0,1,199,Ace,14,9,0,35,30,
Roger Federer,Rafael Nadal,Roger Federer,0,1,1,177,Error,14,9,0,35,30,
Roger Federer,Rafael Nadal,Roger Federer,3,2,1,147,Error,14,9,1,35,30,
Roger Federer,Rafael Nadal,Roger Federer,0,0,1,175,Ace,14,9,0,35,30,
Roger Federer,Rafael Nadal,Rafael Nadal,1,3,0,177,Error,14,9,0,35,30,
Roger Federer,Rafael Nadal,Rafael Nadal,2,4,1,171,Winner,14,9,0,35,30,